k,WCSS_KMeans,WCSS_MiniBatch,Silhouette_KMeans,Silhouette_MiniBatch,Waktu_KMeans (detik),Waktu_MiniBatch (detik)
2,217.89722018022786,232.3159709227525,0.22480889294495274,0.20540279992141616,0.6619768142700195,0.01811695098876953
3,176.46048974559505,187.36151366323566,0.24307577727710075,0.21604117791413557,0.1391453742980957,0.06337618827819824
4,151.87017904850268,160.05816594499504,0.25321638174643885,0.23234841073495807,0.005706071853637695,0.013427019119262695
5,137.31076111315366,145.71658430654793,0.25207520166206276,0.2056715879788268,0.01945972442626953,0.012952804565429688
6,123.33013205753838,137.6935953939917,0.24580402131990234,0.19123107899003242,0.009106874465942383,0.013746500015258789
7,114.76593924610421,117.66423764202023,0.21960990833744398,0.2172532707522258,0.030978918075561523,0.01451253890991211
8,107.38839674377061,111.53240829989036,0.2315055630330778,0.22405076962724732,0.00998067855834961,0.012283086776733398
9,104.23962585367639,103.71343580892398,0.22062516340597446,0.24160478463650664,0.032801151275634766,0.015053272247314453
10,98.02543954929901,96.4070450708866,0.2238133865560165,0.23792834098361978,0.010076522827148438,0.016107559204101562
